Blog	four	looking	second	k	reports	brought	music	until	example	want	feature	machine	wrong	easier	series	service	needed	showed	project	person	tech	saying	result	lots	men	country	asked	chrome	much	pro	life	things	had	easy	possible	right	old	support	full	leave	team	alone	along	love	working	such	data	years	course	didn	internet	million	quite	open	city	future	san	turned	say	note	take	sale	ways	link	going	where	photos	former	technology	being	rest	around	world	power	industry	favorite	her	ad	am	having	original	tv	th	large	small	past	hours	november	social	via	company	learn	huge	its	always	found	really	research	major	number	sell	self	also	play	plan	sometimes	cover	set	see	movie	available	whole	community	read	recent	amp	readers	couple	d	continue	senate	anything	line	posted	us	ago	land	came	results	young	try	video	let	great	makes	tools	next	baby	challenge	process	high	move	doing	could	start	system	best	should	hope	means	stuff	email	etc	co	android	off	less	web	government	five	become	does	problem	monday	worth	told	word	work	network	created	another	john	away	com	voice	hand	photo	thanks	night	post	months	way	true	moore	face	test	update	together	p	guy	change	live	car	heard	write	product	still	non	half	space	shows	care	friend	than	online	america	only	between	article	comes	learning	these	media	thinking	real	early	using	business	aren	lot	trying	building	since	month	very	learned	family	ask	site	history	help	soon	actually	event	put	american	behind	clear	pretty	during	x	close	won	probably	else	look	while	guide	ready	game	step	within	doesn	e	youtube	go	facebook	michael	win	started	meet	control	links	including	hands	university	special	times	wikileaks	art	need	able	talk	based	she	both	party	well	lost	page	twitter	home	mdash	he	piece	star	stay	friends	lives	companies	likely	even	tips	ever	never	met	call	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	side	mean	content	isn	features	matter	mind	seem	don	m	stop	bad	decided	said	against	appeared	three	website	make	opportunity	left	yes	yet	potential	save	deal	popular	super	down	drive	digital	billion	finally	me	did	run	box	making	may	man	maybe	nbsp	group	interesting	earlier	thing	think	little	anyone	were	especially	shot	show	black	morning	enough	reading	across	according	mark	those	many	then	different	same	running	money	videos	again	important	u	starting	public	search	published	two	hour	share	needs	through	late	good	someone	everyone	house	hard	members	done	least	part	believe	b	click	build	find	please	fans	point	simple	create	understand	bill	fun	itself	spend	big	bit	google	often	back	per	forward	others	later	private	account	la	ll	day	sexual	text	taking	general	center	thought	latest	add	success	happens	buy	minutes	sleep	under	every	street	would	phone	must	keep	end	over	writing	each	got	free	wanted	days	already	top	too	tom	took	talking	though	watch	amazon	report	however	news	experience	several	pick	election	everything	security	head	donald	longer	focus	roy	cool	level	posts	says	goes	water	iphone	today	local	trump	figure	information	happened	name	turn	place	coming	white	released	r	any	ideas	sure	state	college	review	come	case	events	week	without	seems	blog	idea	wife	follow	program	woman	song	far	list	ten	design	version	known	rather	short	might	wouldn	used	friday	feel	story	store	kind	finding	nothing	his	him	wrote	recently	york	c	became	questions	question	long	called	nice	users	once	include	deals	leaving	apple	app	use	few	women	tax	something	instead	light	looks	related	our	why	thousands	ones	words	view	stories	last	gets	percent	other	smart	know	press	james	because	getting	own	apps	made	whether	book
SpikedHumor - Today's Videos and Pictures	0	0	6	0	1	0	2	1	0	1	1	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	1	2	1	5	0	0	0	2	1	2	0	1	0	0	1	0	1	0	2	0	0	0	1	1	0	2	2	0	0	1	0	1	0	0	0	0	0	2	0	0	1	1	4	1	0	0	0	0	1	2	1	0	2	1	0	0	0	0	1	0	0	0	0	0	7	0	2	1	0	2	0	0	0	3	3	0	0	0	4	4	1	0	1	0	0	0	0	0	1	1	0	0	0	0	5	2	2	1	0	1	0	0	15	2	1	1	0	0	9	0	0	0	1	0	1	0	1	6	1	1	1	0	0	0	0	0	3	0	0	3	0	0	2	3	0	0	0	1	2	1	0	3	0	1	6	4	0	0	0	1	3	0	2	0	0	4	0	0	1	3	2	1	2	4	1	0	0	2	1	1	3	0	0	0	1	0	4	0	2	1	0	0	1	0	0	4	1	4	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	1	0	3	3	0	0	0	0	1	0	0	2	1	5	3	0	0	1	0	0	1	0	5	2	0	0	0	1	0	0	0	0	0	0	3	1	6	0	1	1	2	0	3	0	0	0	0	1	0	0	0	7	0	0	1	0	0	0	0	5	0	3	1	0	1	1	0	0	1	0	0	2	1	0	0	2	2	1	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	3	2	0	2	0	0	0	0	3	0	1	3	0	0	0	0	5	2	0	0	3	1	4	2	0	1	2	0	0	2	1	0	0	0	2	5	2	1	0	0	1	1	0	2	2	2	0	0	1	1	4	1	0	3	0	1	1	0	0	1	1	0	0	0	2	1	2	2	0	0	1	0	7	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	2	2	2	2	3	0	0	0	1	1	0	5	0	2	2	0	0	0	0	102	0	1	0	2	0	1	0	0	1	2	2	0	0	0	0	5	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	0	2	0	0	0	3	0	1	0	0	0	9	1	0	0	0	0	0	1	0	2	1	0	0	2	0	0	0	5	3	0	1	1	1	2	0	0	1	0	1	4	0	0	1	1	1	4	2	1	2	0	4	0	0	3	0	0	1	0	0	0
The Official Google Blog	2	0	2	4	0	2	2	2	2	5	3	7	0	4	4	10	2	1	4	0	4	0	1	1	0	7	0	27	6	1	8	4	5	0	2	5	1	13	4	0	19	1	2	0	9	3	49	7	2	5	0	7	0	6	5	3	5	0	5	3	7	1	3	1	2	6	3	1	10	0	0	11	7	1	2	6	6	0	0	2	0	2	2	3	6	4	2	5	0	1	8	11	1	6	7	2	3	4	5	0	0	1	11	2	4	0	0	8	15	2	2	0	18	1	2	6	0	1	9	5	0	1	5	0	10	1	1	3	1	0	4	1	4	3	0	5	7	0	6	3	4	2	5	2	2	4	8	0	4	1	0	0	0	4	9	2	2	1	0	2	2	1	1	0	2	2	1	13	4	5	1	1	0	1	3	1	0	1	0	1	2	7	1	0	0	0	1	13	1	0	2	0	1	1	0	1	3	2	0	10	1	3	0	11	8	6	2	3	0	3	9	15	0	1	3	5	10	19	0	4	2	2	7	3	2	1	8	1	7	1	29	5	2	4	2	2	2	0	1	3	0	3	2	0	1	10	9	2	3	2	3	4	0	1	5	7	0	0	0	6	4	2	0	3	0	4	0	9	0	5	7	4	1	5	12	4	0	2	2	1	0	9	0	27	0	1	0	5	6	2	1	5	6	3	0	2	2	1	0	2	0	1	2	3	1	2	1	1	0	0	1	0	5	2	0	0	6	17	2	0	5	2	0	0	8	16	16	5	7	0	0	2	3	1	3	1	3	5	3	1	0	9	1	8	2	3	3	0	0	0	2	0	1	1	3	3	0	4	0	3	3	0	4	0	0	11	2	0	4	8	7	3	3	5	0	3	1	2	14	6	4	8	3	8	5	10	4	13	2	3	0	2	6	5	3	4	0	10	3	1	4	8	8	3	5	2	2	16	5	1	1	1	3	2	2	95	1	6	3	4	2	1	0	2	2	11	15	0	2	1	1	6	0	4	3	3	0	2	3	0	1	8	5	5	4	0	11	0	13	0	3	0	8	2	6	4	0	1	0	2	1	2	2	0	0	0	1	7	1	2	0	1	6	2	0	0	1	0	0	6	0	10	0	0	0	16	18	0	0	5	0	1	2	3	6	1	1	0	4	3	6	4	3	1	5	2	1	10	3	0	1	0	0	0	3	1	0	2	2	0	2	5	2	0	3	2	0	4	1	6	1	3	2	2	1	14	5	0	1	1	0	2	2	0	2	2	0	7	1	2	0	3	0	8	9	8	0	0	2	4	1	2	1	52	3	3	1	0	3	7	5	0	3	7	0	8	0	2	5	3	2	9	5	6	0
Neil Gaiman's Journal	7	1	5	1	0	1	0	6	1	16	0	0	0	1	7	0	1	2	1	7	0	2	0	10	1	1	15	0	23	0	8	49	42	1	2	10	11	4	1	1	2	4	3	21	4	10	0	22	0	11	5	3	5	1	1	0	12	2	2	1	11	7	2	6	27	23	2	1	1	8	5	7	16	3	0	0	12	0	20	5	7	8	18	2	6	2	9	3	3	3	1	5	5	5	5	6	23	0	1	3	4	2	11	1	0	7	23	10	19	3	6	6	1	27	2	1	0	9	23	1	0	7	2	26	22	28	2	6	2	3	2	7	8	2	5	0	11	6	2	1	4	1	27	21	1	0	7	12	15	7	5	3	3	10	0	10	6	0	0	1	2	6	0	0	1	5	9	22	0	1	10	1	11	28	1	3	9	1	11	6	7	8	2	1	0	0	0	5	2	1	5	4	0	2	16	0	11	4	5	0	2	1	4	12	3	3	22	7	2	5	1	14	4	6	2	6	3	0	1	13	6	1	5	5	17	2	7	4	0	0	10	3	7	8	17	28	0	1	3	4	0	2	5	7	5	8	10	0	4	0	2	0	3	13	2	23	3	4	1	10	5	0	4	4	3	2	2	8	0	12	13	1	5	3	11	5	2	9	0	7	3	4	0	50	2	1	2	9	2	0	0	30	1	9	12	6	1	9	1	7	8	5	0	18	1	6	3	21	4	1	1	8	2	4	4	2	12	61	2	5	2	15	1	1	8	2	24	2	6	6	5	0	1	1	1	0	4	2	0	0	3	64	20	2	0	7	9	11	3	307	0	2	1	20	7	9	4	22	4	0	6	1	4	2	15	1	1	2	5	15	30	8	9	6	18	1	5	1	0	1	7	0	8	23	4	5	0	9	5	24	10	9	2	8	1	12	2	6	1	4	1	1	14	3	0	1	1	1	3	0	6	2	1	6	17	2	2	23	0	0	3	6	1	0	6	20	13	0	5	4	2	2	8	1	0	1	3	3	2	4	1	3	0	38	1	4	6	2	21	24	8	23	4	7	23	2	0	19	0	9	11	3	5	5	1	3	2	2	5	2	1	6	0	5	0	0	0	0	1	1	0	1	10	3	0	3	0	0	1	1	2	4	4	6	10	2	1	0	12	4	11	0	3	7	5	4	7	7	5	1	13	6	3	0	4	0	10	1	1	1	4	3	0	2	6	4	2	3	0	7	8	0	10	1	5	31	18	11	0	11	3	5	10	1	11	6	3	0	4	1	0	2	1	1	0	13	2	0	22	8	5	4	0	8	4	4	4	9	1	12	21	4	0	17	2	11	3	8	34	8	8	0	14	1	64
Signal v. Noise - Medium	0	3	1	0	1	1	0	3	6	6	3	2	4	2	0	0	1	2	3	3	2	5	1	1	0	0	5	0	5	0	8	21	11	3	3	7	1	1	1	0	8	2	1	1	4	0	1	12	4	11	1	2	1	3	0	1	0	0	5	1	9	0	4	0	14	16	0	0	0	6	4	5	2	2	2	0	4	0	0	1	0	2	0	0	3	1	1	1	1	0	18	5	2	1	5	2	10	2	2	5	3	1	14	1	1	1	0	10	11	0	2	0	0	1	0	0	1	3	12	2	0	1	1	0	12	2	0	0	2	3	8	2	3	5	0	1	7	1	1	0	4	5	13	12	10	6	4	12	3	1	4	3	3	0	2	4	2	2	2	1	2	2	1	0	3	4	4	11	0	1	6	1	3	6	1	2	4	1	2	0	0	6	4	0	0	7	0	4	3	0	4	2	4	0	1	6	8	0	1	1	0	4	1	7	0	0	12	4	2	1	5	11	2	1	3	1	2	25	3	8	8	0	2	0	4	0	2	1	1	1	4	0	2	0	4	0	1	2	0	1	0	1	2	1	3	6	2	2	0	1	0	3	7	1	9	7	0	4	1	6	0	0	0	0	0	1	1	0	0	2	13	1	1	1	8	0	0	4	2	2	1	1	0	6	2	0	1	0	1	4	0	10	0	4	5	2	1	3	8	7	0	3	0	4	1	17	0	2	0	2	0	5	2	4	0	0	9	4	2	2	0	2	0	0	7	0	27	1	4	5	2	0	0	2	2	1	3	0	0	2	0	19	10	9	2	3	5	0	3	0	40	2	2	12	14	4	3	10	8	0	6	0	0	1	1	0	1	0	8	17	7	6	6	5	0	0	1	14	0	2	1	1	11	10	0	9	2	7	3	6	3	3	0	0	0	2	2	3	1	3	7	3	7	2	0	5	6	3	3	0	2	2	0	7	1	3	6	3	0	1	5	2	2	0	0	8	2	0	0	0	0	1	1	1	12	5	1	2	1	1	2	4	0	11	0	0	6	4	9	1	5	8	2	4	1	6	9	9	1	3	0	2	1	0	3	3	2	1	1	0	0	5	0	0	0	1	6	0	0	0	0	1	3	3	1	9	0	0	2	1	1	3	5	7	2	0	2	0	9	3	9	0	3	1	2	0	0	1	2	0	0	7	0	9	3	0	0	3	16	0	4	2	2	2	1	5	2	2	0	4	13	1	5	2	2	1	0	3	2	1	1	2	2	2	5	3	0	1	3	0	1	0	0	0	2	5	0	0	18	7	0	1	1	12	2	0	0	5	2	3	3	1	1	9	0	11	0	0	7	4	8	2	5	3	0
456 Berea Street	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	12	0	0	0	1	0	1	0	5	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	7	1	1	3	0	0	1	0	0	1	0	0	2	0	3	4	0	0	0	0	10	1	0	1	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	1	1	0	2	0	1	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	6	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	4	0	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	2	5	0	0	0	0	0	0	0	3	1	1	3	0	0	0	0	0	1	0	0	1	0	1	4	1	5	1	0	0	0	1	1	0	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	1	0	2	0	0	0	0	2	0	0	0	0	1	0	4	1	2	0	0	0	0	1	2	2	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	1	1	0	2	0	1	0	0	0	0	1	2	0	0	0	0	0	1	1	1	0	0	0	0
Sifry's Alerts - David Sifry	5	7	5	3	1	1	1	1	4	20	3	0	1	3	0	2	2	1	2	1	1	0	0	2	2	2	3	0	11	4	0	10	9	2	2	6	8	2	4	2	6	0	2	4	4	1	4	2	4	0	2	4	3	3	7	2	2	1	4	1	8	0	1	0	12	10	3	0	1	0	0	5	8	0	1	1	2	2	2	0	0	1	1	4	3	0	3	1	1	2	1	2	1	2	1	9	16	0	0	3	1	2	16	3	1	1	3	6	3	7	2	1	0	5	0	1	0	1	4	3	0	0	3	5	14	1	0	2	1	1	2	3	5	13	4	1	11	0	0	0	2	1	1	4	2	0	2	4	2	8	2	3	0	1	2	11	5	6	0	5	0	3	1	0	1	1	0	7	3	0	2	2	2	1	0	0	1	5	0	4	2	4	0	0	0	0	4	6	0	0	1	1	0	1	0	8	14	2	3	0	0	0	3	12	1	0	8	1	0	2	0	3	2	2	2	0	2	2	1	9	1	3	2	3	10	3	0	1	6	0	7	2	1	0	7	0	0	0	2	3	3	2	3	2	0	4	12	13	3	1	0	0	1	0	0	7	0	3	0	2	1	1	0	2	0	0	0	5	0	1	6	1	0	4	2	5	0	16	0	0	1	2	0	2	1	0	4	4	0	3	1	13	0	2	0	0	3	2	2	5	0	0	1	5	4	2	1	1	0	4	1	2	2	1	1	0	7	11	3	0	0	0	0	0	3	0	15	2	0	1	2	0	3	0	4	1	3	1	3	0	0	8	2	2	0	8	0	0	2	2	4	10	1	1	6	0	3	5	4	2	3	0	1	4	1	0	0	0	13	8	6	2	3	0	8	0	0	0	4	0	3	3	0	5	2	1	1	6	1	5	0	1	1	4	0	6	1	8	1	1	1	5	3	1	0	0	3	6	1	0	6	1	2	4	6	1	3	1	10	5	0	1	8	0	1	17	8	0	1	2	0	1	2	2	1	0	0	4	3	0	1	1	2	2	1	0	1	6	13	2	3	6	2	1	3	2	10	4	0	1	1	2	1	0	12	2	1	5	0	0	0	2	0	0	0	0	2	0	0	0	5	0	0	0	0	6	8	0	0	22	0	2	5	7	2	1	1	0	2	1	6	9	0	0	6	0	3	3	0	0	25	0	0	2	0	0	0	3	1	6	0	2	0	0	0	1	1	6	0	2	1	0	3	0	2	2	2	0	0	1	1	0	3	0	5	2	0	0	5	2	0	0	0	1	6	2	4	0	8	0	2	4	1	11	8	0	2	0	0	0	6	1	2	8	0	7	0	0	0	4	3	0	0	0	7
Joel on Software	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0
Wired	0	1	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	6	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	2	0	0	0	0	2	1	0	1	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	3	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	2	0	3	0	0	1	0	0	0	0	1	0	5	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	2	0	1	0	0	0	1	1	0	1	1	2	1	0	0	1	0	2	3	0	0	2	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	1	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	5	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	2	0	2	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	1
Cool Hunting	1	1	5	0	0	0	3	1	1	1	1	0	0	0	6	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	2	0	0	5	0	2	0	0	1	2	1	2	0	0	3	1	0	1	0	1	4	2	3	0	1	0	2	2	0	1	13	0	0	1	1	1	2	0	2	6	1	1	1	3	1	0	0	2	0	1	0	3	2	0	0	0	0	2	0	2	15	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0	2	50	0	2	1	0	2	1	0	0	0	0	0	3	0	5	2	0	4	2	0	2	4	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	2	0	2	0	0	0	0	1	2	1	2	0	1	1	0	2	0	0	2	4	0	0	0	1	3	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	8	0	2	1	3	2	0	6	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	2	7	4	0	0	0	0	1	2	0	0	1	0	0	2	0	0	2	4	0	0	1	0	4	0	2	0	1	0	2	0	1	0	1	0	1	0	0	0	5	0	4	0	0	0	8	0	3	1	0	1	0	0	3	0	0	4	0	0	0	0	0	0	2	0	0	2	1	0	1	3	0	0	0	0	1	0	1	0	0	2	2	0	0	4	1	0	1	0	6	0	1	1	3	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	3	2	0	0	0	2	0	1	0	1	0	0	3	1	0	0	0	5	0	2	0	2	2	5	0	1	50	1	0	0	0	3	0	1	1	0	0	0	0	3	0	0	3	0	0	3	2	0	3	1	0	1	0	1	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	2	2	1	0	0	0	2	1	0	1	0	0	0	3	0	4	1	0	1	8	0	0	0	2	0	0	0	0	0	1	3	0	2	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	3	0	2	0	2	7	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	1	0	0	5	2	4	1	0	1	0	0	0	0	1	0	1	0	0	2	1	1	1	2	2	0	0	0	0	0	0	1	0	1	0	0	0	1	2	3	1	0	1	0	0	0	0	3	2	0	1	0	0	0	3	0	0	1	0	1	0	1	1	0	1	0	4	0	3
Boing Boing	0	5	0	1	4	4	6	0	0	5	0	3	5	1	0	1	3	0	0	2	0	4	2	0	5	1	4	0	4	0	4	8	20	3	0	10	6	4	0	5	1	2	3	3	0	4	0	8	0	6	0	1	3	1	0	3	0	1	9	3	3	2	2	2	3	6	0	3	1	7	2	2	3	1	0	0	25	0	10	1	1	1	0	1	3	2	1	4	4	7	1	1	0	11	2	7	2	1	1	4	0	0	5	0	1	0	0	5	6	2	3	4	3	1	1	1	0	0	3	0	2	5	1	3	25	2	3	0	0	2	2	5	5	6	4	1	3	2	1	2	3	2	3	10	1	2	4	5	1	1	0	0	0	2	0	2	1	1	2	1	0	0	3	2	1	4	5	7	1	1	3	2	5	3	1	0	3	1	1	3	2	4	0	11	1	1	0	3	0	3	5	2	1	2	1	0	5	1	1	5	4	3	3	9	2	0	6	3	1	1	0	9	4	2	1	1	3	0	4	1	1	3	2	1	9	1	1	0	0	3	6	0	3	2	8	4	3	0	2	0	1	2	1	3	1	2	4	0	0	0	1	0	0	0	3	6	2	1	0	0	2	2	2	5	2	0	2	3	12	3	13	2	1	1	21	7	4	3	4	1	7	5	3	16	7	2	1	1	2	1	1	6	0	3	4	1	1	3	0	0	2	2	1	2	0	3	0	7	0	1	1	2	1	0	2	1	12	9	5	1	2	15	3	1	1	2	6	2	1	2	1	1	2	1	0	1	5	0	0	2	1	16	10	0	3	2	3	2	3	0	7	2	1	6	7	3	0	17	4	1	6	0	1	6	1	0	2	0	6	11	7	3	4	0	5	1	5	3	1	2	2	0	1	7	1	1	2	10	0	10	2	1	2	3	1	2	1	10	3	1	1	1	3	0	3	4	2	1	0	1	1	1	1	3	0	0	2	7	0	5	5	5	0	5	3	1	2	7	3	3	0	1	3	0	3	0	1	2	4	2	2	2	4	8	0	1	3	2	15	2	1	4	3	4	0	4	1	10	0	3	2	1	3	3	1	2	0	3	3	1	1	7	0	1	6	0	0	6	1	2	1	7	3	0	0	4	2	24	1	1	2	1	1	3	7	9	3	0	6	0	1	2	0	0	3	1	1	4	4	2	0	1	2	0	0	3	2	1	1	0	0	0	3	2	0	1	0	1	0	4	7	0	0	2	2	19	1	7	1	1	0	2	0	1	4	3	1	0	2	2	0	2	0	0	7	0	24	3	11	2	7	1	0	29	8	0	1	1	1	5	4	2	1	11	1	7	4	0	16	1	2	0	12	3	1
